,acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,uri,valence,track.album.album_type,track.album.id,track.album.name,track.album.release_date,track.album.release_date_precision,track.album.total_tracks,track.album.type,track.album.uri,track.artists,track.duration_ms,track.explicit,track.href,track.id,track.name,track.popularity,track.track_number
1,0.00371,0.384,190733,0.793,4erbxwjfevEeeAhfhBgTun,0,0,0.542,-6.743,1,0.0416,170.844,4,https://api.spotify.com/v1/tracks/4erbxwjfevEeeAhfhBgTun,spotify:track:4erbxwjfevEeeAhfhBgTun,0.531,album,2MepPOmvj6EFMFxal61R18,Coughing Up A Storm,1995-03-01,day,18,album,spotify:album:2MepPOmvj6EFMFxal61R18,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4cxBQR2C44tnfQ74lpFN7N'}, 'href': 'https://api.spotify.com/v1/artists/4cxBQR2C44tnfQ74lpFN7N', 'id': '4cxBQR2C44tnfQ74lpFN7N', 'name': 'Frenzal Rhomb', 'type': 'artist', 'uri': 'spotify:artist:4cxBQR2C44tnfQ74lpFN7N'}]",190733,True,https://api.spotify.com/v1/tracks/4erbxwjfevEeeAhfhBgTun,4erbxwjfevEeeAhfhBgTun,Run,21,3
2,0.0249,0.572,273667,0.762,1jfzCY0ca2Uvf0Zu4ncBSY,0.0016,11,0.0798,-5.148,1,0.0242,95.982,4,https://api.spotify.com/v1/tracks/1jfzCY0ca2Uvf0Zu4ncBSY,spotify:track:1jfzCY0ca2Uvf0Zu4ncBSY,0.661,album,1gqbUOpbpoEH83HP7JevAL,Dosage,1999-01-29,day,11,album,spotify:album:1gqbUOpbpoEH83HP7JevAL,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4e5V1Q2dKCzbLVMQ8qbTn6'}, 'href': 'https://api.spotify.com/v1/artists/4e5V1Q2dKCzbLVMQ8qbTn6', 'id': '4e5V1Q2dKCzbLVMQ8qbTn6', 'name': 'Collective Soul', 'type': 'artist', 'uri': 'spotify:artist:4e5V1Q2dKCzbLVMQ8qbTn6'}]",273666,False,https://api.spotify.com/v1/tracks/1jfzCY0ca2Uvf0Zu4ncBSY,1jfzCY0ca2Uvf0Zu4ncBSY,Run,49,7
3,0.499,0.547,245440,0.562,1EXMjx4nCIvYTaY5CZMUSl,0.00104,11,0.129,-10.046,0,0.0326,75.604,4,https://api.spotify.com/v1/tracks/1EXMjx4nCIvYTaY5CZMUSl,spotify:track:1EXMjx4nCIvYTaY5CZMUSl,0.331,album,0yrbBqU42geLWgpynM3Fqe,The Road Less Traveled,2001-01-01,day,10,album,spotify:album:0yrbBqU42geLWgpynM3Fqe,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5vngPClqofybhPERIqQMYd'}, 'href': 'https://api.spotify.com/v1/artists/5vngPClqofybhPERIqQMYd', 'id': '5vngPClqofybhPERIqQMYd', 'name': 'George Strait', 'type': 'artist', 'uri': 'spotify:artist:5vngPClqofybhPERIqQMYd'}]",245440,False,https://api.spotify.com/v1/tracks/1EXMjx4nCIvYTaY5CZMUSl,1EXMjx4nCIvYTaY5CZMUSl,Run,57,2
4,0.14,0.545,243427,0.674,3eXmt3GMlGoYo3tX6ArQZt,0.00332,6,0.0777,-8.272,1,0.0261,76.733,4,https://api.spotify.com/v1/tracks/3eXmt3GMlGoYo3tX6ArQZt,spotify:track:3eXmt3GMlGoYo3tX6ArQZt,0.885,album,3bqtPZ5OFyLSjribXic2uj,Whatever Gets You Through The Day,2001-01-01,day,11,album,spotify:album:3bqtPZ5OFyLSjribXic2uj,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6edGSAX5dVpeJVwu1Q0NwJ'}, 'href': 'https://api.spotify.com/v1/artists/6edGSAX5dVpeJVwu1Q0NwJ', 'id': '6edGSAX5dVpeJVwu1Q0NwJ', 'name': 'Lighthouse Family', 'type': 'artist', 'uri': 'spotify:artist:6edGSAX5dVpeJVwu1Q0NwJ'}]",243426,False,https://api.spotify.com/v1/tracks/3eXmt3GMlGoYo3tX6ArQZt,3eXmt3GMlGoYo3tX6ArQZt,Run,44,1
5,4.14E-05,0.407,230987,0.848,3IwywNYZ2rTb951s9LO4E6,0.00231,1,0.121,-4.241,1,0.0421,146.332,4,https://api.spotify.com/v1/tracks/3IwywNYZ2rTb951s9LO4E6,spotify:track:3IwywNYZ2rTb951s9LO4E6,0.298,album,6cozmknniOr8cErwZv1puI,Pacifier,2003-10-08,day,18,album,spotify:album:6cozmknniOr8cErwZv1puI,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6ARXDcXrqIygiCDmsfrIHf'}, 'href': 'https://api.spotify.com/v1/artists/6ARXDcXrqIygiCDmsfrIHf', 'id': '6ARXDcXrqIygiCDmsfrIHf', 'name': 'Pacifier / Shihad', 'type': 'artist', 'uri': 'spotify:artist:6ARXDcXrqIygiCDmsfrIHf'}]",230986,False,https://api.spotify.com/v1/tracks/3IwywNYZ2rTb951s9LO4E6,3IwywNYZ2rTb951s9LO4E6,Run,26,3
6,0.000431,0.403,354547,0.654,6kesIBNAY17BoAz28pnWMC,4.08E-05,9,0.166,-6.002,0,0.0295,74.617,4,https://api.spotify.com/v1/tracks/6kesIBNAY17BoAz28pnWMC,spotify:track:6kesIBNAY17BoAz28pnWMC,0.197,album,6rnHGj9PUHcEQCp4xdjbeJ,Final Straw,2004-01-01,day,12,album,spotify:album:6rnHGj9PUHcEQCp4xdjbeJ,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3rIZMv9rysU7JkLzEaC5Jp'}, 'href': 'https://api.spotify.com/v1/artists/3rIZMv9rysU7JkLzEaC5Jp', 'id': '3rIZMv9rysU7JkLzEaC5Jp', 'name': 'Snow Patrol', 'type': 'artist', 'uri': 'spotify:artist:3rIZMv9rysU7JkLzEaC5Jp'}]",354546,False,https://api.spotify.com/v1/tracks/6kesIBNAY17BoAz28pnWMC,6kesIBNAY17BoAz28pnWMC,Run,66,7
7,0.0752,0.637,272760,0.467,0fFmm8APvONXNp53tiW7Qh,0.00222,7,0.0393,-12.427,1,0.0303,119.288,4,https://api.spotify.com/v1/tracks/0fFmm8APvONXNp53tiW7Qh,spotify:track:0fFmm8APvONXNp53tiW7Qh,0.376,album,6MkAjwpnQFntrWuq93akcq,Magpie,2004-01-01,day,12,album,spotify:album:6MkAjwpnQFntrWuq93akcq,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6xdlt4biT0b4DKB3DMAfoj'}, 'href': 'https://api.spotify.com/v1/artists/6xdlt4biT0b4DKB3DMAfoj', 'id': '6xdlt4biT0b4DKB3DMAfoj', 'name': 'Stephen Fretwell', 'type': 'artist', 'uri': 'spotify:artist:6xdlt4biT0b4DKB3DMAfoj'}]",272760,False,https://api.spotify.com/v1/tracks/0fFmm8APvONXNp53tiW7Qh,0fFmm8APvONXNp53tiW7Qh,Run,23,3
8,0.161,0.591,252467,0.562,4fdsFgiSK33prbumkK1jf0,0.779,2,0.111,-10.972,1,0.0291,119.878,4,https://api.spotify.com/v1/tracks/4fdsFgiSK33prbumkK1jf0,spotify:track:4fdsFgiSK33prbumkK1jf0,0.138,album,0hQOqvZv1nQvPiBjzyn363,Talkie Walkie,2004-01-26,day,10,album,spotify:album:0hQOqvZv1nQvPiBjzyn363,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1P6U1dCeHxPui5pIrGmndZ'}, 'href': 'https://api.spotify.com/v1/artists/1P6U1dCeHxPui5pIrGmndZ', 'id': '1P6U1dCeHxPui5pIrGmndZ', 'name': 'Air', 'type': 'artist', 'uri': 'spotify:artist:1P6U1dCeHxPui5pIrGmndZ'}]",252466,False,https://api.spotify.com/v1/tracks/4fdsFgiSK33prbumkK1jf0,4fdsFgiSK33prbumkK1jf0,Run,43,3
9,0.00207,0.294,117893,0.963,7AnkUd2gJCismEXe1NPWPA,0.661,2,0.0521,-3.855,0,0.14,151.543,4,https://api.spotify.com/v1/tracks/7AnkUd2gJCismEXe1NPWPA,spotify:track:7AnkUd2gJCismEXe1NPWPA,0.732,compilation,6MCoIIxLj5VyrmBhyZvWnh,Greatest Hits,2005-01-01,day,23,album,spotify:album:6MCoIIxLj5VyrmBhyZvWnh,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6P7kkhED6EPrfoZuxz20Fo'}, 'href': 'https://api.spotify.com/v1/artists/6P7kkhED6EPrfoZuxz20Fo', 'id': '6P7kkhED6EPrfoZuxz20Fo', 'name': 'Spiderbait', 'type': 'artist', 'uri': 'spotify:artist:6P7kkhED6EPrfoZuxz20Fo'}]",117893,False,https://api.spotify.com/v1/tracks/7AnkUd2gJCismEXe1NPWPA,7AnkUd2gJCismEXe1NPWPA,Run,20,18
10,0.0469,0.424,308400,0.86,3zuD1hYojQeN3hOD0e1vD4,0.164,10,0.506,-6.546,0,0.0683,148.35,4,https://api.spotify.com/v1/tracks/3zuD1hYojQeN3hOD0e1vD4,spotify:track:3zuD1hYojQeN3hOD0e1vD4,0.325,album,5Ofn4bXOFPjuTNZENS0A8N,The New Normal,2005-02-08,day,11,album,spotify:album:5Ofn4bXOFPjuTNZENS0A8N,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6gD6Pm7jo3mmKgDtyMruA6'}, 'href': 'https://api.spotify.com/v1/artists/6gD6Pm7jo3mmKgDtyMruA6', 'id': '6gD6Pm7jo3mmKgDtyMruA6', 'name': 'Cog', 'type': 'artist', 'uri': 'spotify:artist:6gD6Pm7jo3mmKgDtyMruA6'}]",308400,False,https://api.spotify.com/v1/tracks/3zuD1hYojQeN3hOD0e1vD4,3zuD1hYojQeN3hOD0e1vD4,Run,34,7
11,0.43,0.302,314720,0.461,4hrAKlxfblnG7llBEEX7TR,5.61E-06,5,0.122,-6.166,0,0.0292,142.434,4,https://api.spotify.com/v1/tracks/4hrAKlxfblnG7llBEEX7TR,spotify:track:4hrAKlxfblnG7llBEEX7TR,0.0932,album,7t1veDv7FWHYXskQEoU7dq,Spirit,2007,year,17,album,spotify:album:7t1veDv7FWHYXskQEoU7dq,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5lKZWd6HiSCLfnDGrq9RAm'}, 'href': 'https://api.spotify.com/v1/artists/5lKZWd6HiSCLfnDGrq9RAm', 'id': '5lKZWd6HiSCLfnDGrq9RAm', 'name': 'Leona Lewis', 'type': 'artist', 'uri': 'spotify:artist:5lKZWd6HiSCLfnDGrq9RAm'}]",314537,False,https://api.spotify.com/v1/tracks/4hrAKlxfblnG7llBEEX7TR,4hrAKlxfblnG7llBEEX7TR,Run,64,17
12,5.22E-05,0.349,187160,0.871,722ukitnIS4Xuo5Xz0qVyz,0,8,0.271,-4.11,1,0.0539,159.839,4,https://api.spotify.com/v1/tracks/722ukitnIS4Xuo5Xz0qVyz,spotify:track:722ukitnIS4Xuo5Xz0qVyz,0.414,album,5aMNLhPwUGBlVUS1gU9yAm,Six to Midnight,2009-01-01,day,13,album,spotify:album:5aMNLhPwUGBlVUS1gU9yAm,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/04qi4CymYf3E50Mt2na4QS'}, 'href': 'https://api.spotify.com/v1/artists/04qi4CymYf3E50Mt2na4QS', 'id': '04qi4CymYf3E50Mt2na4QS', 'name': 'Grinspoon', 'type': 'artist', 'uri': 'spotify:artist:04qi4CymYf3E50Mt2na4QS'}]",187160,False,https://api.spotify.com/v1/tracks/722ukitnIS4Xuo5Xz0qVyz,722ukitnIS4Xuo5Xz0qVyz,Run,23,2
13,0.00605,0.306,255653,0.969,1GZsl1d1Xnhlmobeg63nzZ,2.3E-06,1,0.0884,-4.927,0,0.437,179.88,4,https://api.spotify.com/v1/tracks/1GZsl1d1Xnhlmobeg63nzZ,spotify:track:1GZsl1d1Xnhlmobeg63nzZ,0.055,album,7E2L6CvPYjSS0r6Obl9qfO,Cohesion,2010-01-01,day,12,album,spotify:album:7E2L6CvPYjSS0r6Obl9qfO,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/384DhgGNBZ91pyVJF61u18'}, 'href': 'https://api.spotify.com/v1/artists/384DhgGNBZ91pyVJF61u18', 'id': '384DhgGNBZ91pyVJF61u18', 'name': 'Gyroscope', 'type': 'artist', 'uri': 'spotify:artist:384DhgGNBZ91pyVJF61u18'}]",255653,False,https://api.spotify.com/v1/tracks/1GZsl1d1Xnhlmobeg63nzZ,1GZsl1d1Xnhlmobeg63nzZ,Run,15,10
14,0.0122,0.636,232600,0.744,0LkcxvrnqrgwnNo9zczBBB,0.0459,2,0.0643,-6.504,1,0.0597,113.545,4,https://api.spotify.com/v1/tracks/0LkcxvrnqrgwnNo9zczBBB,spotify:track:0LkcxvrnqrgwnNo9zczBBB,0.804,album,0zeAijecFGZOS4OaRdPVz5,Contra,2010-01-11,day,10,album,spotify:album:0zeAijecFGZOS4OaRdPVz5,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5BvJzeQpmsdsFp4HGUYUEx'}, 'href': 'https://api.spotify.com/v1/artists/5BvJzeQpmsdsFp4HGUYUEx', 'id': '5BvJzeQpmsdsFp4HGUYUEx', 'name': 'Vampire Weekend', 'type': 'artist', 'uri': 'spotify:artist:5BvJzeQpmsdsFp4HGUYUEx'}]",232600,False,https://api.spotify.com/v1/tracks/0LkcxvrnqrgwnNo9zczBBB,0LkcxvrnqrgwnNo9zczBBB,Run,48,6
15,0.0699,0.605,210387,0.928,3kUJ9u148oaHwdKFT45qb3,2.23E-06,9,0.103,-5.056,1,0.0717,79.983,4,https://api.spotify.com/v1/tracks/3kUJ9u148oaHwdKFT45qb3,spotify:track:3kUJ9u148oaHwdKFT45qb3,0.563,album,52O1oc2EC6kwNo8iwBs919,Epilogue,2010-03-09,day,10,album,spotify:album:52O1oc2EC6kwNo8iwBs919,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5snNHNlYT2UrtZo5HCJkiw'}, 'href': 'https://api.spotify.com/v1/artists/5snNHNlYT2UrtZo5HCJkiw', 'id': '5snNHNlYT2UrtZo5HCJkiw', 'name': 'Epik High', 'type': 'artist', 'uri': 'spotify:artist:5snNHNlYT2UrtZo5HCJkiw'}]",210386,False,https://api.spotify.com/v1/tracks/3kUJ9u148oaHwdKFT45qb3,3kUJ9u148oaHwdKFT45qb3,Run,40,2
16,0.00404,0.468,232751,0.901,5XOLVAMCqXx0WzBZhfOxsw,0,5,0.33,-5.476,0,0.328,170.043,4,https://api.spotify.com/v1/tracks/5XOLVAMCqXx0WzBZhfOxsw,spotify:track:5XOLVAMCqXx0WzBZhfOxsw,0.48,single,1hY6VsOkVehn6y70swNG9x,Run (feat. Wretch 32),2010-08-02,day,2,album,spotify:album:1hY6VsOkVehn6y70swNG9x,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1zG1DuedWyFm98fa1iSoJX'}, 'href': 'https://api.spotify.com/v1/artists/1zG1DuedWyFm98fa1iSoJX', 'id': '1zG1DuedWyFm98fa1iSoJX', 'name': 'Baby Blue', 'type': 'artist', 'uri': 'spotify:artist:1zG1DuedWyFm98fa1iSoJX'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0T2sGLJKge2eaFmZJxX7sq'}, 'href': 'https://api.spotify.com/v1/artists/0T2sGLJKge2eaFmZJxX7sq', 'id': '0T2sGLJKge2eaFmZJxX7sq', 'name': 'Wretch 32', 'type': 'artist', 'uri': 'spotify:artist:0T2sGLJKge2eaFmZJxX7sq'}]",232751,False,https://api.spotify.com/v1/tracks/5XOLVAMCqXx0WzBZhfOxsw,5XOLVAMCqXx0WzBZhfOxsw,Run - TDH Remix,42,2
17,5.09E-05,0.412,193320,0.996,38RoyAckTIe44BjYmsMbsa,0.417,2,0.165,-4.028,1,0.0737,171.987,4,https://api.spotify.com/v1/tracks/38RoyAckTIe44BjYmsMbsa,spotify:track:38RoyAckTIe44BjYmsMbsa,0.74,album,0BBC9CJOAvXVmUs7txm8cY,The Lost Children,2011,year,16,album,spotify:album:0BBC9CJOAvXVmUs7txm8cY,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3TOqt5oJwL9BE2NG9MEwDa'}, 'href': 'https://api.spotify.com/v1/artists/3TOqt5oJwL9BE2NG9MEwDa', 'id': '3TOqt5oJwL9BE2NG9MEwDa', 'name': 'Disturbed', 'type': 'artist', 'uri': 'spotify:artist:3TOqt5oJwL9BE2NG9MEwDa'}]",193320,True,https://api.spotify.com/v1/tracks/38RoyAckTIe44BjYmsMbsa,38RoyAckTIe44BjYmsMbsa,Run,50,6
18,0.015,0.619,249147,0.652,7BNxbhK3BwhHRoF2EvYNss,5.77E-06,11,0.0835,-5.701,1,0.0312,109.99,4,https://api.spotify.com/v1/tracks/7BNxbhK3BwhHRoF2EvYNss,spotify:track:7BNxbhK3BwhHRoF2EvYNss,0.204,album,11cSEILu0r5DCRfjRxShKi,Modern Love,2011-01-01,day,11,album,spotify:album:11cSEILu0r5DCRfjRxShKi,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4NGiEU3Pkd8ASRyQR30jcA'}, 'href': 'https://api.spotify.com/v1/artists/4NGiEU3Pkd8ASRyQR30jcA', 'id': '4NGiEU3Pkd8ASRyQR30jcA', 'name': 'Matt Nathanson', 'type': 'artist', 'uri': 'spotify:artist:4NGiEU3Pkd8ASRyQR30jcA'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0hYxQe3AK5jBPCr5MumLHD'}, 'href': 'https://api.spotify.com/v1/artists/0hYxQe3AK5jBPCr5MumLHD', 'id': '0hYxQe3AK5jBPCr5MumLHD', 'name': 'Sugarland', 'type': 'artist', 'uri': 'spotify:artist:0hYxQe3AK5jBPCr5MumLHD'}]",249146,False,https://api.spotify.com/v1/tracks/7BNxbhK3BwhHRoF2EvYNss,7BNxbhK3BwhHRoF2EvYNss,Run,47,8
19,0.322,0.671,205640,0.871,4egHO3NsbuZ79Lfd2j8i8t,0.000211,0,0.11,-3.723,1,0.104,119.947,4,https://api.spotify.com/v1/tracks/4egHO3NsbuZ79Lfd2j8i8t,spotify:track:4egHO3NsbuZ79Lfd2j8i8t,0.569,album,7t6s6NWaLUEkRQEDqp8yNN,Get 'Em Girls,2011-08-12,day,25,album,spotify:album:7t6s6NWaLUEkRQEDqp8yNN,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6rHWAH6F4mr2AViSxMV673'}, 'href': 'https://api.spotify.com/v1/artists/6rHWAH6F4mr2AViSxMV673', 'id': '6rHWAH6F4mr2AViSxMV673', 'name': 'Jessica Mauboy', 'type': 'artist', 'uri': 'spotify:artist:6rHWAH6F4mr2AViSxMV673'}]",205640,False,https://api.spotify.com/v1/tracks/4egHO3NsbuZ79Lfd2j8i8t,4egHO3NsbuZ79Lfd2j8i8t,Run,17,1
20,0.00102,0.78,232093,0.693,5LqHJL3NDuGzyq6mMYD4Eq,0,7,0.111,-4.453,1,0.225,129.951,4,https://api.spotify.com/v1/tracks/5LqHJL3NDuGzyq6mMYD4Eq,spotify:track:5LqHJL3NDuGzyq6mMYD4Eq,0.629,album,7eLwoxxWs6lfkVYJGkGNbk,Wild Ones,2012-06-22,day,10,album,spotify:album:7eLwoxxWs6lfkVYJGkGNbk,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0jnsk9HBra6NMjO2oANoPY'}, 'href': 'https://api.spotify.com/v1/artists/0jnsk9HBra6NMjO2oANoPY', 'id': '0jnsk9HBra6NMjO2oANoPY', 'name': 'Flo Rida', 'type': 'artist', 'uri': 'spotify:artist:0jnsk9HBra6NMjO2oANoPY'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3mH3OBKopDDVgnJcT5PrPk'}, 'href': 'https://api.spotify.com/v1/artists/3mH3OBKopDDVgnJcT5PrPk', 'id': '3mH3OBKopDDVgnJcT5PrPk', 'name': 'Redfoo', 'type': 'artist', 'uri': 'spotify:artist:3mH3OBKopDDVgnJcT5PrPk'}]",232093,False,https://api.spotify.com/v1/tracks/5LqHJL3NDuGzyq6mMYD4Eq,5LqHJL3NDuGzyq6mMYD4Eq,Run - feat. RedFoo of LMFAO [Bonus Track],50,9
